_	Name	DCC	Address	Type	Max	speed	Functions
0	Analog	train	0	A	0	000000000000000000000000000
1	Wagons	0	A	0	000000000000000000000000000
2	LightTrain	14	P	60	000000000000000000000000000
3	Eurostar	15	P	270	000000000000000000000000000
4	Time	16	P	160	000000000000000000000000000
5	OLED	17	P	160	000000000000000000000000000
6	TVtrein	19	P	160	000000000000000000000000000
7	112345	274	P	14721	000000000000000000000000000
8	ZeroTrain	381	P	160	000000000000000000000000000
9	ZeroTrain	382	P	160	000000000000000000000000000
10	ZeroTrain	383	P	160	000000000000000000000000000
11	New_Train	492	P	193	000000000000000000000000000
12	Kitty	621	P	140	000000000000000000000000000
13	Heavy	train	858	P	70	000000000000000000000000000
14	FishTrain	910	C	155	000000000000000000000000000
15	Fish2Train	911	C	160	000000000000000000000000000
16	FishTrain	912	C	155	000000000000000000000000000
17	Fish2Train	913	C	160	000000000000000000000000000
18	FishTrain	914	C	155	000000000000000000000000000
19	Fish2Train	915	C	160	000000000000000000000000000
20	TGV	921	P	320	000000000000000000000000000
21	Koploper	1200	P	160	000000000000000000000000000
22	FavoTrain	1230	P	200	000000000000000000000000000
23	Cargo_Train	1246	C	120	000000000000000000000000000
24	Stoomtrein	1482	P	100	000000000000000000000000000
25	TestTrain	1841	P	160	000000000000000000000000000
26	Hondekop	2003	P	140	000000000000000000000000000
27	SuperNew	7890	P	391	000000000000000000000000000
